i,j,v
188169,297799,43
312874,283144,25
482887,510956,5
411120,433599,702
512258,518242,27
509022,269991,15
397301,447318,83
242661,517379,16
269321,634910,10
316088,512534,10
724351,22761,100
508575,502452,280
616002,348569,25
9655,289295,25
410577,621286,25
645767,310124,10
288605,6622,42
314140,423383,100
209951,636310,1090
448502,407655,25
9326,1689,216
500537,368514,52
490475,507309,10
517057,511237,10
511289,517119,10
599886,433516,110
308220,403517,40
320215,613980,55
481292,329799,41
606671,380136,2
250874,420554,99
328883,19328,20
292064,376209,100
572593,250841,83
263574,375831,30
313283,261245,111
330563,289811,50
404923,648468,25
423383,500776,100
279037,502568,20
427317,274563,50
338874,433626,500
783481,758595,83
417519,475410,50
264845,263984,22
395008,409409,300
315983,262004,150
407704,500690,100
482872,403398,10
315768,293702,340
354220,360623,40
514857,508050,226
308426,309639,10
431336,409931,10
724221,380181,10
319721,468829,33
430888,443520,36
253540,430905,5
376591,408285,41
308405,380455,10
422809,12626,20
385323,429986,10
205622,10947,100
486677,265818,50
426062,319035,9
330471,470487,98
481970,20118,25
507509,16629,112
287806,598216,20
234616,445336,100
248339,323251,50
385038,462351,50
556123,281808,42
360982,474917,112
293760,283144,33
296687,323070,250
365209,308536,50
293760,419852,19
423378,273442,50
238853,695163,18
427275,494489,312
188169,14937,97
346080,296315,80
261754,374386,45
535238,368021,20
406881,246847,60
286367,500738,1510
478716,277952,100
461236,445127,20
417299,390336,50
416649,488610,300
405729,263574,100
502718,347285,50
645767,1110,2
511190,517387,10
320215,8152,54
336873,352374,25
228993,289783,215
325289,389378,67
554228,488178,30
415748,371106,62
333414,309715,55
193345,362162,30
502718,306911,45
291877,461286,100
228149,250329,20
403013,411192,25
335383,327678,25
9326,306668,6
490949,479071,2
482887,508756,500
411475,302556,44
753369,758692,83
401491,302556,100
436037,339205,234
464221,436577,5
385627,372581,100
508763,373934,35
395500,294102,50
473070,474800,55
382998,308813,6
430905,257756,70
330471,261625,100
376591,354156,56
428000,465823,100
355110,500000,50
471502,419722,10
428687,500144,200
419790,377111,10
323032,411286,60
343622,502524,10
14586,444785,24
255648,300352,145
294666,6945,145
348611,308536,6
302319,428687,100
391782,483892,16
322662,397392,70
234327,8152,4
188169,15683,97
312874,482024,25
200530,296315,50
279037,224429,100
618597,519264,50
378275,246292,15
413828,658316,16
516028,408838,17
484541,424178,250
479174,247143,14
281996,407705,100
439396,501169,105
8151,355271,100
423235,502052,5
407705,428666,301
502718,245958,101
14447,14532,30
236581,375727,30
425264,422759,198
320310,209951,100
193135,403858,7
443225,337090,5
263574,408746,50
512036,404757,25
307568,248172,333
14838,657123,20
9326,11037,16
616002,509022,15
378055,354393,15
221216,397668,100
421110,493964,41
501896,501701,30
401491,323070,200
516028,463223,25
11782,401818,200
294370,464079,10
7626,406560,50
573993,13640,33
544359,541381,14
308337,436407,100
373258,203666,250
375831,523720,50
216993,434411,21
401785,347,63
238032,511759,13
14253,403090,100
336567,326271,50
9270,296207,88
10095,369048,50
287806,512446,20
366431,296148,8
506156,417426,5
505268,501383,14
454819,420880,20
420880,435716,50
283144,4567,100
365209,249332,50
408746,518129,8
10947,14199,196
291511,434908,130
316088,478311,5
388505,422513,501
500619,508188,42
419790,417851,15
4973,437263,1112
7408,299388,222
500428,445864,505
286367,382579,350
685084,306668,13
539179,6730,10
466111,497116,25
413010,423457,100
951,497352,400
350228,315697,5
453804,411120,100
443198,511674,8
443198,279037,8
18745,500329,30
241763,236636,50
394357,7559,10
212085,333414,50
416401,284679,22
404757,426744,310
493739,417780,50
500429,419861,510
509862,393364,100
386000,333517,84
612367,460843,50
511220,511001,90
511201,517378,74
517119,517057,10
392562,323021,27
263574,300265,55
309639,247018,25
724513,415748,50
316088,405729,10
501087,511317,362
511753,543988,500
226690,516028,100
478492,294370,100
432062,406493,113
285604,9583,5
329423,375624,101
381793,277313,170
19250,381565,81
434222,297057,20
425675,433035,51
544450,541465,15
342067,294823,135
379581,419722,30
376591,455048,32
385469,285998,30
232704,307224,127
637791,2433,13
297681,14454,33
201035,352374,75
238032,535736,13
336594,543177,47
430904,355677,50
375831,368412,20
425901,315697,5
343622,274580,10
397629,311207,10
451916,191503,25
430258,419852,10
408746,444088,8
422708,788794,500
318447,451916,50
200375,434908,404
296687,14982,100
387202,228837,30
293760,452094,50
387202,415258,30
308536,12626,25
322356,228795,72
665993,14836,15
326040,283144,500
249232,340986,333
411061,413804,101
313798,480642,33
501169,428361,50
518593,260,300
287306,419748,25
350228,403090,5
453804,396236,105
427487,606700,88
416401,516505,10
189285,22342,32
370162,247143,20
449044,434449,9
493739,246458,20
14511,14447,20
416294,444067,1101
320310,421924,100
408842,263619,18
447623,462729,101
420229,241763,15
15696,518617,22
412805,405579,45
308220,266782,33
339857,481906,44
403881,286924,100
333524,270228,30
263574,294370,100
348501,403398,50
339108,337717,30
420986,465748,48
443225,488914,70
302556,414180,50
3372,283144,300
535389,606671,3
500789,407026,150
403020,483365,24
431336,468256,10
474644,427349,20
11158,311933,250
278572,428228,37
14260,292506,14
15117,313485,4
355110,432588,50
443310,15117,5
306401,510257,87
441507,488741,39
308536,434222,25
278085,455666,20
340560,224429,12
497229,379089,10
264450,266490,30
319721,410258,71
431653,431710,29
12915,269694,500
4567,4513,69
7408,5844,222
423378,296687,50
277296,348569,50
379581,317501,30
385793,351653,10
350228,223778,5
4463,4482,500
428352,13474,5
440524,535238,20
504991,485999,26
504991,442331,31
349228,383153,200
296315,607732,10
416557,505268,9
292506,211535,350
16969,6806,400
539,385627,500
500590,456735,100
399715,355566,36
198149,406908,10
427538,602457,59
406334,304465,142
474817,200530,13
279037,408842,10
370162,502438,35
500861,400074,120
20118,470886,50
502438,429539,1506
237205,330408,1379
512237,544003,25
15884,265409,158
9326,230147,43
404757,512036,24
332469,304503,25
321806,517066,9
408842,542351,11
335852,612367,51
191327,281676,200
572442,432891,105
451811,13796,10
483365,354775,50
439378,439338,71
521007,420540,10
275390,786489,251
428341,350139,2
339205,431286,200
15983,260,100
323070,427386,100
191976,195803,90
266782,452094,10
626256,648468,10
266782,435938,100
382803,533032,3
368412,349789,16
215901,423383,90
16610,306567,200
335969,404597,101
444102,424734,18
482872,434222,10
542598,475598,34
308220,498233,33
435897,247018,30
423214,427017,33
517959,523721,21
509457,502908,12
308337,333932,222
253540,282707,5
535389,20118,15
474917,15728,210
238032,528707,12
319666,542377,86
435160,511655,20
325098,451836,125
460342,355677,29
390940,685773,100
278085,707086,20
449044,409573,2
285998,336594,120
391782,504566,27
361386,422322,100
495803,534314,36
423378,332502,50
399485,409857,30
329211,15983,11
500428,504678,510
326040,278406,500
318447,364953,25
7408,396892,222
411120,246292,301
7061,17137,1473
500371,402461,460
344029,439396,200
685084,18085,13
446139,612367,80
360245,347364,50
406881,246905,60
507309,415368,200
22761,393610,100
461236,273442,100
338698,443974,112
343942,508756,800
328883,535036,5
420671,222340,50
21020,321969,25
395131,1110,100
15696,628100,22
443198,513221,20
393444,14719,165
439610,381809,70
606889,422759,83
250874,368021,611
250874,400616,1111
688197,281676,400
512741,323975,150
336653,499431,30
500614,500414,119
430484,433675,97
470013,419042,1409
330802,232704,20
427631,191976,136
414708,420657,49
518593,239748,500
353819,518593,550
498233,455449,7
385627,461236,50
13797,20646,1000
507163,423718,110
454860,355677,30
368013,373025,20
12048,516679,25
320219,335110,25
499442,411286,42
555897,428740,19
462759,2689,420
430904,293570,97
440352,20118,22
337018,230147,60
378362,379180,9
19328,535736,10
454819,627459,20
19328,632486,10
283144,370263,20
401943,535654,99
13267,14796,1000
18988,413828,100
449488,784830,4
387719,12478,44
238853,364953,27
13536,4840,23
316088,478906,7
337090,326040,500
396892,354550,150
301577,258140,4808
410523,10215,100
516028,285462,300
951,472948,580
378275,419625,200
343971,507309,150
242171,421000,20
347868,747757,30
295329,249332,69
342551,430484,100
316088,236636,5
9326,408197,26
443478,426065,100
247018,443478,100
283144,285998,500
315676,283144,100
274908,424658,104
439338,325289,70
482887,480642,55
420554,447233,99
421000,307182,5
599948,437433,5
401491,283144,150
414180,307834,20
422599,378541,547
503614,14972,20
321795,381093,40
401736,444785,178
381093,314532,25
454819,493739,10
295057,470458,50
468827,343622,15
417435,297617,10
435716,8447,111
365108,398474,23
323063,317501,22
507612,461745,20
16505,396484,50
506084,576179,26
17144,19253,137
10144,396484,33
309710,448920,382
467140,505001,17
326677,274272,10
431462,281836,200
386213,20118,69
590111,293102,55
419741,411475,100
286771,508158,3
315697,511043,10
450116,382940,50
8447,323433,555
289295,348611,42
438793,510573,140
15351,288204,50
417418,343622,69
273254,262679,80
14688,420986,11
14879,499373,10
211635,377260,100
380959,293751,45
378661,459122,26
214825,198116,1100
407121,319474,200
397290,497206,280
278653,396234,100
287925,226473,100
327075,322808,83
278543,243366,193
427275,420974,400
423848,535036,5
268597,399240,157
8276,427818,1000
481476,474036,100
296241,376177,630
389529,516138,81
423378,401491,40
312316,500690,50
389808,243300,120
342477,189874,10
463117,453989,69
402360,468256,20
360551,704446,34
490240,343622,117
335383,236727,25
494652,421641,196
278653,480036,300
503264,483150,107
326677,445359,22
442708,443225,54
475488,294780,57
377461,528182,20
423378,247018,40
580446,459169,25
659031,343622,100
787756,311223,33
304336,263843,66
401705,506729,469
454819,508926,10
481476,434908,200
14948,435805,51
3362,243300,1420
449654,397392,15
419521,281836,10
8276,287925,500
501095,327687,10
478740,321795,40
350429,395765,151
296978,390216,116
403405,325198,20
417435,346080,10
462329,333061,20
445127,449654,15
278653,348501,50
364987,248713,55
198783,3017,100
291789,390104,10
306670,291686,99
15117,332316,2
482024,410419,25
291789,419991,10
14948,435967,56
505397,489499,17
273254,292896,80
278653,214570,200
420229,784277,1985
278653,444156,150
388353,395765,50
501095,511674,10
480411,439610,30
378661,378518,35
218369,236581,25
5870,14191,74
318447,461762,250
403619,509624,1000
327687,454819,10
278653,451916,50
252180,232704,30
15117,249958,2
436728,215231,126
326677,307899,25
19387,291307,20
644212,281836,1
247542,343622,50
251596,435501,10
526763,637069,10
423378,336594,20
503614,441404,10
21829,377864,1825
612972,304336,10
8447,420540,420
424867,279328,414
430645,505397,31
508890,621418,100
430593,527568,34
533379,432952,45
501845,435215,100
500533,444025,50
436577,508409,29
261754,395053,25
327341,196444,309
517585,470013,83
351662,426178,44
315842,262679,80
296882,243818,342
518780,600229,55
518242,511421,5
388353,597941,50
330087,435805,145
195117,451841,18
5870,10575,50
15117,269321,2
341208,434908,5
211120,403020,2
342717,421198,44
269405,343622,169
704446,293560,55
482024,277636,40
381440,296978,146
523663,435660,85
514764,625770,10
353603,343622,123
315842,381565,80
396666,34,12
407121,370448,50
283115,22761,300
304336,612972,10
435828,440215,69
316872,331026,29
498662,423734,80
516028,396484,10
252469,252428,40
427818,229878,1000
331578,768884,81
10144,302400,1000
15485,389989,143
216993,407121,500
364987,336567,55
14948,15639,203
326677,382368,35
15117,385323,2
518593,421924,250
419575,390448,303
5870,228795,50
197479,214867,5
473996,477435,36
449264,434955,15
501087,485535,5
445127,8447,50
434912,466715,100
251596,301144,10
229577,407121,110
295725,285998,15
419452,760230,5
435805,511846,61
423378,360623,40
497738,481228,33
455449,332502,25
294370,473065,25
784277,631749,450
365108,334350,30
414708,535389,11
311223,311516,40
411192,474492,87
304503,509256,150
403160,470458,38
309710,484640,382
343134,18679,123
278653,4840,100
514136,621418,50
365108,574939,30
319152,383050,250
310292,528182,25
14970,380090,65
440131,268266,107
363469,407221,50
443225,460653,50
3362,3726,420
370162,343622,10
455565,508841,62
315842,292896,80
342477,330807,10
401296,501809,349
431336,360262,10
411769,308827,13
372888,372913,10
5431,520630,100
506729,401705,827
405830,445127,50
462971,421714,70
612972,506156,15
423378,302556,50
8685,11299,420
758029,343134,40
590111,448505,40
251596,211635,10
364953,211120,2
434888,419575,222
289295,438841,5
314532,317794,20
423378,422910,40
310145,294370,15
501794,501801,6
411769,388401,33
481476,461302,100
420229,263309,35
246702,21829,1825
403405,261754,50
396484,10144,30
533379,501102,15
289236,533305,40
421714,440498,90
419452,664913,10
389529,516138,81
704446,288577,43
15351,354795,20
18552,247143,10
474644,281836,10
421714,531578,60
